,CMU1,CUBoulder1,Amherst1,UChicago1,Princeton1,ND1,Cornell2,Baruch1,Harvard1,UCBerkeley1,StBon1,UChicago3,Indiana1,Iowa1,UChicago4,ND2,Dartmouth2,UChicago5,Columbia1,CMU2,Amherst2
1302,-0.000149152,0.000125744,0.000138021,0.000350191,0.000277354,0.000128772,0.000262089,-6.46E-05,0.000357571,0.000186583,0.000233714,-0.000144291,-0.000312219,-5.34E-05,9.51E-05,0.000156422,0.0002212,0,0.000170265,0.000237644,0.000158773
1303,-6.32E-05,-0.000234024,5.03E-05,0.000179037,-0.000243349,-3.19E-05,5.16E-05,9.98E-05,3.61E-05,9.36E-06,-2.63E-05,8.84E-05,-0.00027511,-0.000311936,1.35E-05,-2.54E-05,-1.72E-05,0,-0.000250724,0.000245856,8.64E-05
1304,0.000159426,-0.000358706,-5.46E-05,-4.50E-05,-0.000119089,0.000118961,-3.12E-05,0.000126252,1.71E-05,4.90E-06,0.000108426,9.12E-05,-0.000415743,3.95E-05,0.000163513,-2.87E-05,3.50E-05,0,-0.000110555,0.000176007,-3.46E-05
1305,5.87E-05,0.000307449,0.000110791,7.96E-05,0.000524324,0.000284443,2.97E-05,-0.000210406,6.55E-05,8.31E-05,-5.02E-06,1.01E-05,0.000910882,-0.000110465,-0.000177286,0.000133559,0.000367265,0,0.00030454,6.34E-05,0.000136599
1306,-5.27E-05,9.07E-05,0.000300744,0.000126109,-8.91E-05,-1.31E-05,0.000314809,-1.60E-05,0.000360346,4.34E-05,9.25E-05,-0.000234123,-0.000412118,-5.07E-05,1.00E-06,0.000186972,-6.00E-06,0,0.000104735,2.40E-06,0.000327127
1307,-0.000278023,0.000297131,0.000103746,0.000305201,0.000294617,4.38E-05,0.000147205,0.000195078,0.000271842,0.000169488,-2.99E-06,-0.000200882,0.000602467,-0.000246384,-0.000160474,0.000156504,0.000137776,0,0.000337366,0.000203804,0.000117242
1308,-0.000102385,-0.000543589,-7.47E-05,-3.49E-05,-5.47E-05,0.000160324,-0.000128389,-2.21E-05,-0.000148357,-0.000104867,-3.58E-05,7.71E-05,0.000817571,-0.000140859,0.000186618,-6.56E-05,-7.89E-06,0,-0.000154059,-0.000382483,-9.35E-05
1309,7.73E-06,0.000308558,2.28E-06,-1.26E-05,-0.000409306,-5.07E-05,-0.000113434,0.000135887,-0.0001183,2.09E-05,1.24E-05,-8.79E-05,-0.000663468,-2.11E-05,-2.23E-05,1.98E-05,-6.34E-05,0,7.40E-05,0.000168253,-1.37E-05
1310,4.98E-05,0.000510603,0.000134679,-1.70E-05,0.000171286,1.05E-05,0.000116369,5.94E-05,0.000105045,-7.10E-05,9.40E-05,-2.73E-05,-0.000546317,-2.08E-05,1.92E-05,8.25E-05,-4.37E-06,0,-9.05E-05,-0.000244298,0.000118146
1311,-4.81E-05,0.000226256,9.87E-05,0.000203106,-0.00029899,-6.91E-05,0.000102393,-0.000123116,7.24E-05,-2.73E-06,-0.000189896,-3.74E-05,-9.72E-05,5.40E-06,-0.000200567,0.000105792,-1.73E-05,0,9.55E-06,-0.000414049,7.93E-05
